name,oldest,youngest,ts_count,refs,rule
Korgekallas,Dw3,Dw3,0.0,9,2.0
Lindegård Mudstone,Dw3,Dw3,0.0,"17, 9",2.0
Ryd,Dw3,Dw3,0.0,9,2.0
Seby,Dw3,Dw3,0.0,9,2.0
Skövde,Dw3,Dw3,0.0,9,2.0
Taurupe,Dw3,Dw3,0.0,9,2.0
Väo,Dw3,Dw3,0.0,9,2.0
Elnes,Dw3,Dw3,0.0,17,2.0
Skultorp,Hi1,Hi1,0.0,17,2.0
Ärina,Hi1,Hi1,0.0,9,2.0
BC16,Hi1,Hi1,0.0,9,2.0
Kuldiga,Hi1,Hi1,0.0,9,2.0
Tommarp,Hi1,Hi1,0.0,"17, 9",2.0
Arenig,Fl1,Dw1,6.0,2,2.0
Arenigian,Fl1,Dw1,6.0,"271, 2",2.0
Castlemainian,Fl3,Dp2,2.0,"12, 2",2.0
Fennian,Dp1,Dw1,3.0,"12, 2",2.0
Kimaian,Dp1,Dw1,3.0,2,2.0
Middle Arenigian,Fl3,Dp1,1.0,"2, 321",2.0
Rangerian,Dp1,Dp2,1.0,"12, 2",2.0
Upper Arenigian,Dp1,Dw1,3.0,"2, 321",2.0
Volkhov,Dp1,Dp3,2.0,"12, 2, 9",2.0
Whitlandian,Fl2,Fl3,1.0,"12, 2",2.0
Zanjon,Dp1,Dp1,0.0,272,2.0
BC1,Fl1,Dw1,6.0,9,2.0
Toila,Dp1,Dp3,2.0,9,2.0
Dawanian,Fl3,Dp3,3.0,12,2.0
Aguathuna,Fl3,Dw1,4.0,84,2.0
Juab,Dp1,Dp1,0.0,84,2.0
San Juan,Fl1,Dw1,6.0,84,2.0
Wah Wah,Fl3,Dp1,1.0,84,2.0
Klabava,Fl1,Dw1,6.0,271,2.0
BII_alpha,Dp1,Dp3,2.0,236,2.0
BI_gamma,Fl3,Dp1,1.0,236,2.0
Nelidov,Fl1,Dw1,6.0,236,2.0
Lebed,Fl1,Dw1,6.0,281,2.0
Tuloy,Fl1,Dp2,4.0,281,2.0
Lanna Limestone,Fl3,Dp3,3.0,33,2.0
Laja Morada,Dp2,Dp2,0.0,272,2.0
Kanosh,Dp2,Dw1,2.0,84,2.0
Yapeenian,Dp3,Dp3,0.0,"12, 2",2.0
Lagunillas,Dp3,Dp3,0.0,272,2.0
BII_beta,Dp3,Dp3,0.0,236,2.0
BII_gamma,Dp3,Dw1,1.0,236,2.0
Sakyna,Dw1,Dw1,0.0,9,2.0
BIII_alpha,Dw1,Dw1,0.0,236,2.0
Billingen,Fl3,Fl3,0.0,"12, 2, 9",2.0
Hunneberg,Tr3,Fl1,1.0,"12, 2",2.0
Ibexian,Tr1,Fl3,5.0,2,2.0
Lancefieldian,Tr1,Fl1,3.0,"12, 2",2.0
Lower Arenigian,Fl1,Fl2,1.0,"2, 321",2.0
Moridunian,Fl1,Fl2,1.0,"12, 2",2.0
Tulean,Tr3,Fl1,1.0,"12, 2",2.0
Ugorian,Fl1,Fl3,2.0,2,2.0
Acoite,Fl1,Fl3,2.0,272,2.0
Bendigonian 1,Fl1,Fl1,0.0,2,2.0
Lancefieldian 3,Fl1,Fl1,0.0,2,2.0
Bendigonian,Fl2,Fl2,0.0,"12, 2",2.0
Blackhillsian,Fl2,Fl3,1.0,"12, 2",2.0
Yushanian,Fl1,Fl3,2.0,12,2.0
Catoche,Tr3,Fl3,3.0,84,2.0
Fillmore,Tr2,Fl3,4.0,84,2.0
Shingle,Tr3,Fl3,3.0,84,2.0
BI_alpha,Tr3,Fl1,1.0,236,2.0
BI_beta,Fl1,Fl3,2.0,236,2.0
Kuagach,Tr3,Fl2,2.0,236,2.0
Marcheta,Fl1,Fl3,2.0,281,2.0
Latorp Limestone,Tr3,Fl1,1.0,33,2.0
